trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,MA60
20260415,688981.SH,102.05,106.1,101.8,103.91,101.52,2.39,2.3542,704839.0,7336887.912,101.35999999999999,98.491,99.0595,110.5145
20260416,688981.SH,103.5,105.0,103.0,104.18,103.91,0.27,0.2598,393721.35,4092706.42,102.252,99.276,98.9385,110.19033333333333
20260417,688981.SH,103.82,107.3,103.27,105.23,104.18,1.05,1.0079,503755.27,5313222.52,103.096,100.47900000000001,98.902,109.86933333333333
20260420,688981.SH,105.93,108.6,105.01,107.96,105.23,2.73,2.5943,547702.62,5872447.693,104.55999999999999,102.09700000000001,99.191,109.59466666666667
20260421,688981.SH,107.33,108.15,105.68,107.46,107.96,-0.5,-0.4631,372584.25,3976054.595,105.748,103.28099999999999,99.662,109.26916666666666
20260422,688981.SH,106.8,108.08,106.5,107.87,107.46,0.41,0.3815,375216.74,4023321.89,106.54,103.95,100.09299999999999,108.97883333333333
20260423,688981.SH,108.88,109.12,105.2,105.98,107.87,-1.89,-1.7521,441491.01,4724880.091,106.9,104.576,100.39250000000001,108.70883333333335
20260424,688981.SH,105.58,113.25,104.61,110.96,105.98,4.98,4.699,910703.63,9980491.748,108.046,105.571,101.0965,108.43833333333333
20260427,688981.SH,113.25,117.69,112.6,116.58,110.96,5.62,5.0649,970295.86,11249548.325,109.76999999999998,107.165,102.0505,108.268
20260428,688981.SH,115.24,117.64,113.02,114.0,116.58,-2.58,-2.2131,625007.3,7209850.228,111.078,108.41300000000001,102.95900000000002,108.08533333333334
20260429,688981.SH,113.35,113.82,109.78,112.47,114.0,-1.53,-1.3421,514882.54,5750212.698,111.998,109.269,103.88,107.92783333333334
20260430,688981.SH,113.31,119.88,113.3,118.73,112.47,6.26,5.5659,1018382.85,11911527.206,114.548,110.724,105.0,107.83916666666667
20260506,688981.SH,122.0,128.12,121.74,123.1,118.73,4.37,3.6806,1292940.51,16176667.799,116.976,112.511,106.495,107.74833333333335
20260507,688981.SH,125.11,127.48,122.22,125.34,123.1,2.24,1.8197,842774.03,10482928.52,118.728,114.249,108.173,107.79733333333333
20260508,688981.SH,122.9,123.19,120.05,120.31,125.34,-5.03,-4.0131,708618.1,8595731.864,119.99000000000001,115.53399999999999,109.4075,107.753
20260511,688981.SH,122.99,124.57,121.9,122.52,120.31,2.21,1.8369,814859.72,10017304.327,122.0,116.999,110.4745,107.844
20260512,688981.SH,124.44,125.44,120.0,121.98,122.52,-0.54,-0.4407,817732.34,10018643.228,122.65,118.599,111.5875,107.94316666666667
20260513,688981.SH,119.0,122.5,116.04,121.86,121.98,-0.12,-0.0984,954951.48,11374279.337,122.402,119.68900000000001,112.63000000000002,108.06016666666666
20260514,688981.SH,121.92,124.04,117.0,117.9,121.86,-3.96,-3.2496,790650.15,9451219.953,120.91400000000002,119.82099999999998,113.49299999999998,108.16183333333333
20260515,688981.SH,121.0,125.0,118.48,119.02,117.9,1.12,0.95,1328100.54,16152497.227,120.65599999999999,120.32300000000001,114.36799999999998,108.26716666666667
