ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI,MACD_DIF,MACD_DEA,MACD_Hist,BOLL_MA,BOLL_Upper,BOLL_Lower,BOLL_BW,K,D,J
600031.SH,2025-05-15,19.53,19.6,19.15,19.2,19.58,-0.38,-1.9408,579659.66,1118377.691,48.20065641545528,0.14422636002124634,0.12908718143439574,0.030278357173701198,19.318,19.991298244699642,18.64470175530036,6.970682728021958,52.15210583528267,60.8777743037491,34.70076889834981
600031.SH,2025-05-16,19.2,19.4,19.12,19.3,19.2,0.1,0.5208,307282.87,590788.139,49.6667059446246,0.1193494567192026,0.12713963649135712,-0.01558035954430903,19.335,19.98707361547591,18.68292638452409,6.745007659435323,41.61330865209321,54.45628575319713,15.927354449885371
600031.SH,2025-05-19,19.3,19.42,19.1,19.18,19.3,-0.12,-0.6218,380042.81,732445.467,47.91421924065846,0.08892624807265292,0.1194969588076163,-0.06114142146992674,19.339000000000002,19.98596538587945,18.692034614120555,6.690784279222785,30.18868894849022,46.36708681829482,-2.168106791118987
600031.SH,2025-05-20,19.19,19.25,18.85,18.98,19.18,-0.2,-1.0428,580140.35,1101282.723,45.060453216862506,0.04812258035159189,0.10522208311641142,-0.11419900552963905,19.335,19.990165708247147,18.679834291752854,6.776992068757656,23.359623478097934,38.69793237156253,-7.316994308831255
600031.SH,2025-05-21,18.98,19.1,18.93,19.01,18.98,0.03,0.1581,352177.2,670117.663,45.584001204601314,0.017998651734220772,0.08777739683997329,-0.13955749021150504,19.326,19.99436485466188,18.65763514533812,6.916742778245692,19.55318182121952,32.31634885478152,-5.973152245904487
600031.SH,2025-05-22,19.01,19.23,18.94,19.07,19.01,0.06,0.3156,357665.69,683478.339,46.67843374944509,-0.0010215048945951821,0.0700176164930596,-0.14207824277530956,19.318,19.994977804191727,18.641022195808276,7.008777349536448,18.50809136340005,27.713596357654364,0.09708137489142388
600031.SH,2025-05-23,19.13,19.3,18.86,18.91,19.07,-0.16,-0.839,453618.5,863572.501,44.12957618811649,-0.0286752286933023,0.05027904745578722,-0.15790855229817904,19.316,19.9977747737377,18.6342252262623,7.059171399230695,13.831264889032838,23.086152534780517,-4.678510402462521
600031.SH,2025-05-26,18.84,18.88,18.5,18.66,18.91,-0.25,-1.3221,491582.8,915567.328,40.41603922712269,-0.0699574883225651,0.026231740300116758,-0.1923784572453637,19.279000000000003,20.01938112518227,18.538618874817736,7.680700505028967,13.113787298284665,19.762030789281898,-0.1826996837097994
600031.SH,2025-05-27,18.66,18.7,18.41,18.41,18.66,-0.25,-1.3398,290435.51,537941.941,37.05772427350824,-0.12144692263811407,-0.0033039922875294104,-0.23628586070116933,19.247,20.078741356558865,18.415258643441135,8.64281557186954,8.742524865523109,16.08886214802897,-5.9501496994886125
600031.SH,2025-05-28,18.47,18.63,18.44,18.5,18.41,0.09,0.4889,241774.37,447820.486,39.022112102022554,-0.15322414983532795,-0.033288023797089124,-0.23987225207647767,19.217499999999998,20.112159594188505,18.32284040581149,9.310884289720383,8.7986469400517,13.658790412036545,-0.9216400039179895
600031.SH,2025-05-29,18.54,18.92,18.51,18.75,18.5,0.25,1.3514,394993.77,741276.872,44.22896907833668,-0.15643167370966893,-0.05791675377960508,-0.19702983986012768,19.202499999999997,20.118782535144256,18.28621746485574,9.543367115159574,17.086886738912334,14.801489187661806,21.65768184141339
600031.SH,2025-05-30,18.76,18.88,18.57,18.83,18.75,0.08,0.4267,321981.83,604138.325,45.823200191355006,-0.15078022747207243,-0.07648944851809855,-0.14858155790794775,19.1845,20.115836899866263,18.253163100133737,9.709264248390765,27.12159490459316,18.90819109330559,43.54840252716829
600031.SH,2025-06-03,19.13,19.13,18.34,18.42,18.83,-0.41,-2.1774,678244.07,1252178.384,39.57888624348335,-0.17734071571928922,-0.09665970195833669,-0.16136202752190507,19.160999999999998,20.145808824621565,18.17619117537843,10.27930509494877,20.858841047506612,19.55840774470593,23.45970765310797
600031.SH,2025-06-04,18.45,18.45,18.21,18.3,18.42,-0.12,-0.6515,455616.36,833198.052,37.94891209334459,-0.2057018878136141,-0.11846813912939218,-0.17446749736844383,19.092,20.11628614423073,18.067713855769266,10.730003606020661,16.65818760965272,18.591667699688195,12.791227429581774
